,index,cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),flow(4),losttime(s),green_time(1),green_time(2),green_time(3),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
0,2,40,2280.0,228.0,912.0,228.0,912.0,9,10.23,10.23,10.23,13.7566668659,0.588395156351,7.776684854510001,5.2332190892,0.07486722588269999,7.24866457923,6.36339168486
1,4,40,2280.0,456.0,684.0,456.0,684.0,9,10.23,10.23,10.23,13.861843443,0.612269911276,7.87767113609,5.18253526706,0.0741421354371,6.734534844290001,5.926212544480001
2,8,50,2280.0,570.0,570.0,570.0,570.0,9,13.53,13.53,13.53,14.230825495,0.56414558199,8.68881598544,5.57556411835,0.0797648657846,8.64226192533,6.9646328666
3,76,40,2280.0,456.0,684.0,456.0,684.0,12,9.24,9.24,9.24,15.1060386859,0.647491762206,8.8050724458,5.402864106719999,0.07729419322919999,7.064224594,6.58257968673
4,74,40,2280.0,228.0,912.0,228.0,912.0,12,9.24,9.24,9.24,15.442547096300002,0.639684245405,9.10803816431,5.603269550299999,0.08016122389550001,7.92472845506,7.22899774373
5,72,40,2280.0,570.0,570.0,570.0,570.0,12,9.24,9.24,9.24,15.6948589183,0.670667029142,9.14782253955,5.53803654356,0.0792279906089,7.10053252138,6.761252279190001
6,156,50,2280.0,456.0,684.0,456.0,684.0,15,11.55,11.55,11.55,16.7153551927,0.6401706421710001,10.4327112294,5.82283616771,0.0833023772204,9.14957689564,8.08519935366
7,146,40,2280.0,228.0,912.0,228.0,912.0,15,8.25,8.25,8.25,17.6284813379,0.700372067498,10.7450372168,6.02374399023,0.08617659499610002,9.0452927253,8.64057637205
8,144,40,2280.0,570.0,570.0,570.0,570.0,15,8.25,8.25,8.25,17.7103467729,0.733118092543,10.6081077812,6.01179222909,0.0860056112888,8.10722796104,8.143080461919999
9,220,40,3800.0,760.0,1140.0,760.0,1140.0,9,10.23,10.23,10.23,18.9740267436,0.782317550206,10.795945591099999,9.771258938089998,0.13978911213300002,6.59106230882,13.881432822
