,index,cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),flow(4),losttime(s),green_time(1),green_time(2),green_time(3),green_time(4),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
0,314,40,4560.0,3192.0,456.0,456.0,456.0,8,22.4,3.2,3.2,3.2,12.663436136500001,0.495661275533,7.3535534254799995,12.3064192487,0.176057499981,8.83943857488,5.94942638018
1,300,40,4560.0,456.0,3192.0,456.0,456.0,8,3.2,22.4,3.2,3.2,12.8651093401,0.49638117280199995,7.75937239204,12.003737960599999,0.171727295573,8.41245788224,5.80494873418
2,308,40,4560.0,2736.0,912.0,456.0,456.0,8,19.2,6.4,3.2,3.2,13.7638996689,0.55409343655,8.21716561188,13.054899918,0.18676537794,7.35468179625,6.9585964017199995
3,471,40,5700.0,570.0,3990.0,570.0,570.0,8,3.2,22.4,3.2,3.2,14.207983309500001,0.534239116014,8.24172844482,15.264756245,0.218379917669,8.740341115680001,7.916383682969999
4,318,40,4560.0,1824.0,912.0,912.0,912.0,8,12.8,6.4,6.4,6.4,14.8088059921,0.597382851657,8.910739002360001,13.7341052835,0.196482192897,4.91503310802,8.293156538989999
5,316,40,4560.0,2280.0,912.0,456.0,912.0,8,16.0,6.4,3.2,6.4,14.9094165931,0.610633969833,8.88702388119,13.8108050529,0.197579471429,6.01301526982,8.17354736381
6,485,40,5700.0,3990.0,570.0,570.0,570.0,8,22.4,3.2,3.2,3.2,14.9498565861,0.553747026684,8.359379576619999,16.3737080582,0.23424475047600002,10.1358407296,9.77554961088
7,304,40,4560.0,1824.0,1824.0,456.0,456.0,8,12.8,12.8,3.2,3.2,15.056572229,0.607250641705,9.0018473046,13.6135295355,0.194757217961,6.1474802877600006,7.877438250289999
8,312,40,4560.0,1368.0,1824.0,456.0,912.0,8,9.6,12.8,3.2,6.4,15.4485281426,0.640206571276,9.33659019981,13.7274838903,0.196387466241,5.008895600580001,8.30960106804
9,310,40,4560.0,912.0,912.0,1368.0,1368.0,8,6.4,6.4,9.6,9.6,15.4981382009,0.62726526572,9.42212108661,13.7200040548,0.19628045857999998,6.44637049768,9.653707928180001
10,305,40,4560.0,1368.0,1368.0,912.0,912.0,8,8.0,8.0,8.0,8.0,15.984565805499999,0.64352950028,9.705815959219999,13.8983862909,0.198832421901,5.98868034159,8.39537504899
11,479,40,5700.0,3420.0,1140.0,570.0,570.0,8,19.2,6.4,3.2,3.2,16.039751975799998,0.624504938606,9.23669869834,17.2703703827,0.24707253766399997,7.759707675689999,9.95824064468
12,302,40,4560.0,1140.0,1140.0,1140.0,1140.0,8,8.0,8.0,8.0,8.0,16.2057798006,0.666403149838,9.82470382638,13.973807266,0.199911405809,4.93522405211,9.31653850094
13,487,40,5700.0,2850.0,1140.0,570.0,1140.0,8,16.0,6.4,3.2,6.4,16.8057398372,0.672778002723,9.67126675294,17.7468498426,0.253889125073,6.59943451158,11.5835625323
14,475,40,5700.0,2280.0,2280.0,570.0,570.0,8,12.8,12.8,3.2,3.2,17.418460856099998,0.676977274007,10.1965248766,17.733460005599998,0.253697568035,6.86726981002,11.503718452000001
15,91,40,6840.0,684.0,4788.0,684.0,684.0,8,3.2,22.4,3.2,3.2,17.711159355,0.627417242391,10.371486563200001,19.6565773112,0.28120997584,10.970485811700001,13.3520047488
16,476,40,5700.0,1710.0,1710.0,1140.0,1140.0,8,8.0,8.0,8.0,8.0,18.0434110393,0.7251237345039999,10.399091073200001,18.3359893977,0.262317444888,6.04146833133,12.386024649600001
17,509,50,5700.0,2280.0,1140.0,1140.0,1140.0,8,16.8,8.4,8.4,8.4,18.1654894915,0.630233561329,11.2584890899,17.8753754867,0.255727832428,7.751949767,13.8285684743
