cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),flow(4),losttime(s),green_time(1),green_time(2),green_time(3),green_time(4),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
50,1710.0,427.5,427.5,427.5,427.5,4,11.5,11.5,11.5,11.5,13.3596287177,0.559426319712,7.75475691698,3.23328256628,0.046255830705,7.51217730896,4.07727706736
50,1710.0,427.5,427.5,427.5,427.5,4,11.5,11.5,11.5,11.5,13.3596287177,0.559426319712,7.75475691698,3.23328256628,0.046255830705,7.51217730896,4.07727706736
50,1710.0,171.0,684.0,171.0,684.0,4,11.5,11.5,11.5,11.5,14.4317341533,0.609157191537,8.1540784902,3.77594439656,0.0540192331411,8.64009331051,5.16856181107
50,1710.0,171.0,684.0,171.0,684.0,4,4.6,18.4,4.6,18.4,28.7526412927,1.0041075938,19.6974075924,6.75234758532,0.0966001085167,35.8078825382,17.094069709
50,1710.0,513.0,513.0,342.0,342.0,4,11.5,11.5,11.5,11.5,13.5367773808,0.546666916898,7.80388017666,3.54819190633,0.0507609714782,7.55186543207,4.79796355682
50,1710.0,513.0,513.0,342.0,342.0,4,13.8,13.8,9.2,9.2,13.8098713349,0.551244905192,8.05106643375,3.59113678625,0.0513753474428,7.77811764021,4.61562577879
50,1710.0,171.0,171.0,342.0,1026.0,4,11.5,11.5,11.5,11.5,26.4887030301,1.01320668419,16.4112908538,5.83700113837,0.0835050234388,21.1236670385,13.3638048582
50,1710.0,171.0,171.0,342.0,1026.0,4,4.6,4.6,9.2,27.6,37.238244921,1.20128724504,25.6882613708,7.2223058455,0.103323402654,28.1794827464,16.3986102254
60,1710.0,427.5,427.5,427.5,427.5,4,14.0,14.0,14.0,14.0,16.8566856138,0.602580094921,10.8551735567,3.70957926803,0.0530698035484,10.0588378634,5.9062377724
60,1710.0,427.5,427.5,427.5,427.5,4,14.0,14.0,14.0,14.0,15.5361710995,0.573641173641,9.68578725052,3.71540845293,0.0531531967515,9.26630862977,5.64202124172
60,1710.0,171.0,684.0,171.0,684.0,4,14.0,14.0,14.0,14.0,17.5239406001,0.67097398171,10.9984897228,4.10140235112,0.0586752839931,10.8770263055,6.33661462411
60,1710.0,171.0,684.0,171.0,684.0,4,5.6,22.4,5.6,22.4,44.6972666818,1.24164931412,33.6739205842,6.56628362394,0.0939382492695,56.5090140421,17.815241769
60,1710.0,513.0,513.0,342.0,342.0,4,14.0,14.0,14.0,14.0,14.7001569784,0.536748858679,9.2311766561,3.72914386744,0.0533496976744,9.79050455496,5.68969142751
60,1710.0,513.0,513.0,342.0,342.0,4,16.8,16.8,11.2,11.2,14.9607284026,0.550646773861,9.17791511882,3.80437044516,0.054425900503,9.96176781613,5.86011937891
60,1710.0,171.0,171.0,342.0,1026.0,4,14.0,14.0,14.0,14.0,30.3623184366,1.05268427651,20.1644760119,5.62958456043,0.0805376904211,23.8914773044,13.2904319718
60,1710.0,171.0,171.0,342.0,1026.0,4,5.6,5.6,11.2,33.6,31.8184400367,0.978366803857,22.4124006428,6.73432822964,0.0963423208818,31.4979231665,16.9054859861
70,1710.0,427.5,427.5,427.5,427.5,4,16.5,16.5,16.5,16.5,16.9186188106,0.575886011579,11.2247330651,4.03014863298,0.0576559174961,11.5703776573,7.08594366079
70,1710.0,427.5,427.5,427.5,427.5,4,16.5,16.5,16.5,16.5,17.5971846503,0.572379886644,11.7324633301,3.98992466137,0.0570804672585,11.5345013635,6.68701304625
