cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),flow(4),losttime(s),green_time(1),green_time(2),green_time(3),green_time(4),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
50,1710.0,427.5,427.5,427.5,427.5,4,11.5,11.5,11.5,11.5,14.2001015729,0.599011337868,8.31360639172,3.3586140589,0.0480488420443,7.56115128844,4.28678156246
50,1710.0,427.5,427.5,427.5,427.5,4,11.5,11.5,11.5,11.5,14.2001015729,0.599011337868,8.31360639172,3.3586140589,0.0480488420443,7.56115128844,4.28678156246
50,1710.0,171.0,684.0,171.0,684.0,4,11.5,11.5,11.5,11.5,15.0796273437,0.610739620462,8.88276462467,4.04442389038,0.0578601414933,10.2814044081,5.98706346888
50,1710.0,171.0,684.0,171.0,684.0,4,4.6,18.4,4.6,18.4,11.8327066851,0.489195217481,6.82237438291,3.1772132676,0.0454536948155,8.78666817901,3.99643621566
50,1710.0,513.0,513.0,342.0,342.0,4,11.5,11.5,11.5,11.5,14.3022116363,0.586144042213,8.31951773173,3.60784090667,0.0516143191225,7.63111190442,4.80778431769
50,1710.0,513.0,513.0,342.0,342.0,4,13.8,13.8,9.2,9.2,14.9953938326,0.584385854561,8.99763937011,3.70303565395,0.052976189613,9.75464247007,5.09792461324
50,1710.0,171.0,171.0,342.0,1026.0,4,11.5,11.5,11.5,11.5,29.8875768975,0.971118927369,20.4434013063,5.64779351683,0.0807981905126,28.7551114844,13.8758236972
50,1710.0,171.0,171.0,342.0,1026.0,4,4.6,4.6,9.2,27.6,13.135729415,0.517550606957,8.03556297988,3.05882997897,0.0437600855361,10.2794011485,4.07780113757
60,1710.0,427.5,427.5,427.5,427.5,4,14.0,14.0,14.0,14.0,17.3328082325,0.615875257824,11.4058951397,3.60247762163,0.0515375911535,9.69173456348,5.9748627046
60,1710.0,427.5,427.5,427.5,427.5,4,14.0,14.0,14.0,14.0,15.952751184,0.587533952975,10.0401270603,3.58541130589,0.0512934378525,8.72963555066,5.29359211084
60,1710.0,171.0,684.0,171.0,684.0,4,14.0,14.0,14.0,14.0,16.4416299907,0.55948749558,10.5280993302,4.60685060435,0.0659063033527,12.0727065374,7.2838395326
60,1710.0,171.0,684.0,171.0,684.0,4,5.6,22.4,5.6,22.4,14.1614960172,0.521818139126,8.79051179522,3.44717449442,0.0493158010646,9.64263471772,5.05387661061
60,1710.0,513.0,513.0,342.0,342.0,4,14.0,14.0,14.0,14.0,17.2049272855,0.613252563108,11.1177443841,3.88451044965,0.0555723955601,9.3817177984,6.32524271223
60,1710.0,513.0,513.0,342.0,342.0,4,16.8,16.8,11.2,11.2,16.6748388313,0.589353543994,10.6323264057,4.14211020073,0.0592576566628,11.5436337443,6.89211728034
60,1710.0,171.0,171.0,342.0,1026.0,4,14.0,14.0,14.0,14.0,27.7415005919,0.770018716798,19.7019849717,5.60507839523,0.0801871015054,26.8236671355,14.205033585
60,1710.0,171.0,171.0,342.0,1026.0,4,5.6,5.6,11.2,33.6,13.1641066025,0.465883529169,8.25557570218,3.10052758874,0.0443566178646,10.4668861357,4.2275072586
70,1710.0,427.5,427.5,427.5,427.5,4,16.5,16.5,16.5,16.5,17.3569690474,0.5547153701,11.892208314,3.8664036264,0.0553133566008,12.2480336656,6.96763948647
70,1710.0,427.5,427.5,427.5,427.5,4,16.5,16.5,16.5,16.5,18.2326096291,0.583472937319,12.5119794752,3.93860779606,0.0563463204014,12.137624101,7.06819285904
70,1710.0,171.0,684.0,171.0,684.0,4,16.5,16.5,16.5,16.5,19.1587454072,0.611983084579,13.1896775718,4.66274159242,0.0667058883036,14.520768307,8.87657873268
70,1710.0,171.0,684.0,171.0,684.0,4,6.6,26.4,6.6,26.4,14.7245471389,0.487741130923,9.72835279959,3.62345975435,0.051837764726,12.0679908498,5.83494549222
70,1710.0,513.0,513.0,342.0,342.0,4,16.5,16.5,16.5,16.5,17.286698646,0.560261366764,11.6433191929,4.022187677,0.0575420268527,12.4763033371,7.59960198286
70,1710.0,513.0,513.0,342.0,342.0,4,19.8,19.8,13.2,13.2,20.2212130999,0.619787726724,14.167044018,4.05367036577,0.0579924229724,11.951466407,7.68049507031
