cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),flow(4),losttime(s),green_time(1),green_time(2),green_time(3),green_time(4),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
135,2700.0,270.0,1080.0,270.0,1080.0,16,39.6666666667,39.6666666667,39.6666666667,39.6666666667,65.2729137427,1.03858023183,55.3421382851,12.3352716268,0.176470266477,57.8950140317,35.1143213218
135,2700.0,270.0,1080.0,270.0,1080.0,16,15.8666666667,63.4666666667,15.8666666667,63.4666666667,74.9262216943,1.14898632678,63.2689995859,15.0627943077,0.215490619566,71.8490891171,44.4125942033
135,2700.0,540.0,810.0,540.0,810.0,16,39.6666666667,39.6666666667,39.6666666667,39.6666666667,71.7801356599,1.27259095377,59.5706838959,16.3024495456,0.233225315388,51.2102632394,46.8446540743
135,2700.0,540.0,810.0,540.0,810.0,16,31.7333333333,47.6,31.7333333333,47.6,81.0195226158,1.28622436026,68.4578680198,16.8670415864,0.24130245474,58.3966030854,52.258574708
135,2700.0,270.0,270.0,1080.0,1080.0,16,39.6666666667,39.6666666667,39.6666666667,39.6666666667,71.9251405333,1.21825521345,60.0539572703,12.9359814457,0.185064112242,59.6157491457,38.2119056897
135,2700.0,270.0,270.0,1080.0,1080.0,16,15.8666666667,15.8666666667,63.4666666667,63.4666666667,137.112164393,1.85743117593,121.304720243,22.094599025,0.316088684191,98.0399678643,46.4686152022
135,2700.0,270.0,270.0,270.0,1890.0,16,39.6666666667,39.6666666667,39.6666666667,39.6666666667,43.502647277,0.740356323893,36.2052255902,8.46284731859,0.12107077709,44.7082573833,23.9981736066
135,2700.0,270.0,270.0,270.0,1890.0,16,15.8666666667,15.8666666667,15.8666666667,111.066666667,89.6043862969,1.26741729093,78.4926599986,18.0053671512,0.257587512893,68.4578493228,33.4833418527
135,2700.0,540.0,540.0,1350.0,270.0,16,39.6666666667,39.6666666667,39.6666666667,39.6666666667,66.3402991827,1.19047983041,55.0115067211,13.9400361325,0.199428270851,54.9063199188,38.3954458313
135,2700.0,540.0,540.0,1350.0,270.0,16,31.7333333333,31.7333333333,79.3333333333,15.8666666667,87.313828978,1.39534522984,74.0970165905,16.489223065,0.23589732568,64.0917486032,45.2089536947
140,2700.0,675.0,675.0,675.0,675.0,16,41.3333333333,41.3333333333,41.3333333333,41.3333333333,86.7863953823,1.36481287191,72.8117055685,19.6100042219,0.280543694162,65.8697477091,56.2748335842
140,2700.0,675.0,675.0,675.0,675.0,16,41.3333333333,41.3333333333,41.3333333333,41.3333333333,92.2007682445,1.45960236935,77.442437063,18.5398856035,0.265234414928,67.6405007089,58.8845835081
140,2700.0,270.0,1080.0,270.0,1080.0,16,41.3333333333,41.3333333333,41.3333333333,41.3333333333,64.5787190088,1.04879755112,54.0984784172,12.8166360435,0.18335673882,59.7085795828,35.7592397299
140,2700.0,270.0,1080.0,270.0,1080.0,16,16.5333333333,66.1333333333,16.5333333333,66.1333333333,81.2422191297,1.28790513207,68.3623551553,16.1781925391,0.23144767581,77.1090328432,45.2565743215
140,2700.0,540.0,810.0,540.0,810.0,16,41.3333333333,41.3333333333,41.3333333333,41.3333333333,81.8535441481,1.35176879504,68.37901572,18.0136201916,0.25770558214,54.4041531123,52.3388472297
140,2700.0,540.0,810.0,540.0,810.0,16,33.0666666667,49.6,33.0666666667,49.6,86.3984763926,1.44221207867,71.9627271289,17.4843109209,0.250133203447,63.0547041811,53.8890721553
140,2700.0,270.0,270.0,1080.0,1080.0,16,41.3333333333,41.3333333333,41.3333333333,41.3333333333,79.0660129361,1.35582984456,65.7737496897,12.4407364983,0.177979062923,62.3234817719,39.9037699293
140,2700.0,270.0,270.0,1080.0,1080.0,16,16.5333333333,16.5333333333,66.1333333333,66.1333333333,113.647536997,1.48738021485,100.373737384,21.0510609352,0.301159670031,87.3465027557,47.7020425172
140,2700.0,270.0,270.0,270.0,1890.0,16,41.3333333333,41.3333333333,41.3333333333,41.3333333333,43.5532825334,0.743037316071,36.566958541,9.00672431233,0.128851563839,50.3948132987,26.263763832
140,2700.0,270.0,270.0,270.0,1890.0,16,16.5333333333,16.5333333333,16.5333333333,115.733333333,95.9210059957,1.27692604681,84.2729922217,18.8331236771,0.269429523278,74.6179613871,34.7042923254
140,2700.0,540.0,540.0,1350.0,270.0,16,41.3333333333,41.3333333333,41.3333333333,41.3333333333,67.7745051269,1.05688187875,57.331987226,13.7420413033,0.196595726799,60.3722609682,42.3277032393
140,2700.0,540.0,540.0,1350.0,270.0,16,33.0666666667,33.0666666667,82.6666666667,16.5333333333,92.4875538002,1.28505221283,79.9690936175,17.0035910457,0.243255952013,64.5314114545,45.8495878201
145,2700.0,675.0,675.0,675.0,675.0,16,43.0,43.0,43.0,43.0,96.0937352641,1.60181185527,80.3286411397,18.3287462293,0.262213823022,74.506961603,57.6980459924
145,2700.0,675.0,675.0,675.0,675.0,16,43.0,43.0,43.0,43.0,97.7888030264,1.58233631599,81.51381955,18.5480175626,0.265350751969,72.8274157083,59.6240393459
145,2700.0,270.0,1080.0,270.0,1080.0,16,43.0,43.0,43.0,43.0,63.6490024628,1.01850496667,53.8930541551,12.5101317242,0.178971841548,58.4792652994,37.1641720514
145,2700.0,270.0,1080.0,270.0,1080.0,16,17.2,68.8,17.2,68.8,93.3568489343,1.3684356895,80.5400267931,16.7394785908,0.239477519182,87.2035563505,48.4857730219
145,2700.0,540.0,810.0,540.0,810.0,16,43.0,43.0,43.0,43.0,86.4816511966,1.33822446102,73.3313718958,17.7425558236,0.253827694185,62.5139452391,53.4450201624
145,2700.0,540.0,810.0,540.0,810.0,16,34.4,51.6,34.4,51.6,104.222076236,1.60620670999,89.0642901397,18.1723483024,0.259976370563,79.4998943407,58.7999455253
145,2700.0,270.0,270.0,1080.0,1080.0,16,43.0,43.0,43.0,43.0,88.6872144711,1.34002704812,75.8926310427,14.4111678891,0.206168353205,66.8734744507,41.5849316818
145,2700.0,270.0,270.0,1080.0,1080.0,16,17.2,17.2,68.8,68.8,142.729102003,1.70390729063,127.305369338,25.0068315349,0.357751524105,101.766584532,50.370207089
145,2700.0,270.0,270.0,270.0,1890.0,16,43.0,43.0,43.0,43.0,57.8177721889,0.865625800126,49.7001797695,9.97258974378,0.14266938117,50.1554105822,28.144485126
145,2700.0,270.0,270.0,270.0,1890.0,16,17.2,17.2,17.2,120.4,122.892644565,1.50691802178,110.399990772,20.3274265276,0.290807246461,106.995133374,39.442529781
145,2700.0,540.0,540.0,1350.0,270.0,16,43.0,43.0,43.0,43.0,87.1238023565,1.34799070345,73.9312125584,14.6971544576,0.210259720424,76.2387554628,45.4506868868
145,2700.0,540.0,540.0,1350.0,270.0,16,34.4,34.4,86.0,17.2,96.3425510919,1.3683480067,83.2587439559,16.5582069247,0.236884219237,77.9486603173,46.9809371521
150,2700.0,675.0,675.0,675.0,675.0,16,44.6666666667,44.6666666667,44.6666666667,44.6666666667,86.1289588138,1.34110488164,72.8743030475,17.2002345132,0.246069163279,80.1161447581,55.0296383936
150,2700.0,675.0,675.0,675.0,675.0,16,44.6666666667,44.6666666667,44.6666666667,44.6666666667,83.3355410882,1.31750487633,70.5165980638,17.641272818,0.252378724149,72.1148667872,53.7880703744
150,2700.0,270.0,1080.0,270.0,1080.0,16,44.6666666667,44.6666666667,44.6666666667,44.6666666667,62.5019610392,0.967065692028,52.944801669,12.8526098146,0.183871385044,61.5402896777,37.5799991523
150,2700.0,270.0,1080.0,270.0,1080.0,16,17.8666666667,71.4666666667,17.8666666667,71.4666666667,91.8229700688,1.3376467691,79.1602879132,16.6910006119,0.238783985864,81.1846635231,47.7614214967
150,2700.0,540.0,810.0,540.0,810.0,16,44.6666666667,44.6666666667,44.6666666667,44.6666666667,70.5487242193,1.09623817686,59.1585705087,16.2878553301,0.233016528328,56.2892356708,48.8409322018
150,2700.0,540.0,810.0,540.0,810.0,16,35.7333333333,53.6,35.7333333333,53.6,88.2088907798,1.31704233353,74.9522352721,18.0531628411,0.25827128528,67.3361316666,54.8454584666
150,2700.0,270.0,270.0,1080.0,1080.0,16,44.6666666667,44.6666666667,44.6666666667,44.6666666667,67.1921202186,1.09323466142,56.6014981192,12.3685689661,0.176946623264,64.7834003279,39.5804472608
150,2700.0,270.0,270.0,1080.0,1080.0,16,17.8666666667,17.8666666667,71.4666666667,71.4666666667,147.488859796,1.73761589536,131.654357091,26.688527772,0.381810125494,107.351697051,52.1187838693
150,2700.0,270.0,270.0,270.0,1890.0,16,44.6666666667,44.6666666667,44.6666666667,44.6666666667,57.1173201473,0.87962026712,48.6456714337,9.94675588302,0.14229979804,50.7261075395,27.8879142755
