cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),flow(4),losttime(s),green_time(1),green_time(2),green_time(3),green_time(4),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
50,1260.0,315.0,315.0,315.0,315.0,4,11.5,11.5,11.5,11.5,14.6375811015,0.650756600757,8.42968932508,2.68869262664,0.0384648444441,10.2547902997,2.77808505018
50,1260.0,126.0,504.0,126.0,504.0,4,11.5,11.5,11.5,11.5,14.0270965463,0.600352097095,8.22855863028,3.14406923307,0.0449795312314,8.73063196516,3.55346927779
50,1260.0,126.0,504.0,126.0,504.0,4,4.6,18.4,4.6,18.4,12.1619128209,0.500626361656,7.25657897507,2.74189098358,0.0392259082057,10.4760724275,2.64399016876
50,1260.0,252.0,378.0,252.0,378.0,4,11.5,11.5,11.5,11.5,14.1492680991,0.638348088348,8.2227873651,2.70077227901,0.0386376577826,9.90803846853,2.90308457955
50,1260.0,252.0,378.0,252.0,378.0,4,9.2,13.8,9.2,13.8,13.1787672765,0.563034138034,7.72956699346,2.57516229624,0.036840662321,9.27576800938,2.66559447086
50,1260.0,126.0,126.0,504.0,504.0,4,11.5,11.5,11.5,11.5,15.4700362608,0.680469303424,8.96538286115,2.84513796853,0.0407029752293,9.71515519951,3.46546208023
50,1260.0,126.0,126.0,504.0,504.0,4,4.6,4.6,18.4,18.4,40.1550169483,1.39018042397,27.6832462152,7.43007902137,0.106295837216,33.270219321,15.2033421475
50,1260.0,126.0,126.0,126.0,882.0,4,11.5,11.5,11.5,11.5,32.9435336093,1.35229812704,20.7501550171,5.99797757191,0.0858079767083,24.5309100492,13.1070693526
50,1260.0,126.0,126.0,126.0,882.0,4,4.6,4.6,4.6,32.2,53.6249645576,1.45999228395,40.6410116851,7.61042686572,0.108875920826,58.6565504348,16.3184836156
50,1260.0,252.0,252.0,630.0,126.0,4,11.5,11.5,11.5,11.5,14.1472910937,0.650758533502,7.87461761449,2.52760373022,0.0361602822635,9.35887021461,2.7495486808
50,1260.0,252.0,252.0,630.0,126.0,4,9.2,9.2,23.0,4.6,14.7515524422,0.618825957993,8.67196684298,3.58299527712,0.0512588737786,11.4415505231,3.72960760852
55,1260.0,315.0,315.0,315.0,315.0,4,12.75,12.75,12.75,12.75,13.7410236687,0.564276958209,8.30466336302,2.75565764306,0.0394228561238,10.8041186727,2.93085591473
55,1260.0,315.0,315.0,315.0,315.0,4,12.75,12.75,12.75,12.75,14.2347014424,0.562940579772,8.86986084918,2.82870618363,0.0404678996228,11.9092796934,3.12605902381
55,1260.0,126.0,504.0,126.0,504.0,4,12.75,12.75,12.75,12.75,15.3102396134,0.623057778361,9.62306049918,3.14790842681,0.0450344553192,11.6484082381,4.03214363478
55,1260.0,126.0,504.0,126.0,504.0,4,5.1,20.4,5.1,20.4,12.2361433109,0.473971754741,7.61412054741,3.02542708798,0.0432822187122,11.0984926127,3.11350573707
55,1260.0,252.0,378.0,252.0,378.0,4,12.75,12.75,12.75,12.75,15.3424740008,0.604871530586,9.63545692154,2.93497198836,0.0419881543399,12.1352067403,3.82467694231
55,1260.0,252.0,378.0,252.0,378.0,4,10.2,15.3,10.2,15.3,14.946476957,0.595550505051,9.39261618151,2.98869903678,0.042756781642,10.4250139398,3.88186024687
55,1260.0,126.0,126.0,504.0,504.0,4,12.75,12.75,12.75,12.75,15.1367819263,0.623786407767,9.0309794818,2.97223642372,0.0425212650032,10.4566719567,3.93990971279
55,1260.0,126.0,126.0,504.0,504.0,4,5.1,5.1,20.4,20.4,41.0789545839,1.32981547285,29.4546924368,7.61289785615,0.10891127119,32.0386672435,15.0852675786
55,1260.0,126.0,126.0,126.0,882.0,4,12.75,12.75,12.75,12.75,25.6640164813,1.03448493027,16.1509602833,4.63244059582,0.0662723976513,17.49200416,8.67950820124
55,1260.0,126.0,126.0,126.0,882.0,4,5.1,5.1,5.1,35.7,60.4957108155,1.58788610745,46.0838560753,8.09566014113,0.115817741647,55.6103248112,15.8214802263
55,1260.0,252.0,252.0,630.0,126.0,4,12.75,12.75,12.75,12.75,16.8523914784,0.731405483405,10.1588042237,3.19800393372,0.0457511292378,11.1040440967,4.24083174962
55,1260.0,252.0,252.0,630.0,126.0,4,10.2,10.2,25.5,5.1,18.8538149083,0.723721512074,11.8576578482,4.05329233699,0.0579870148354,12.0859839746,5.38315320767
60,1260.0,315.0,315.0,315.0,315.0,4,14.0,14.0,14.0,14.0,16.6406236654,0.630653273372,10.8645962512,3.13345594203,0.0448276958802,12.1749546635,3.90434547426
60,1260.0,315.0,315.0,315.0,315.0,4,14.0,14.0,14.0,14.0,15.1792286163,0.568261673601,9.75014332165,3.00768718755,0.0430284290064,12.1463072238,3.5772935837
60,1260.0,126.0,504.0,126.0,504.0,4,14.0,14.0,14.0,14.0,13.2416450898,0.519249624644,8.36806824125,3.29293223361,0.0471091878914,10.5615644386,3.97926947617
60,1260.0,126.0,504.0,126.0,504.0,4,5.6,22.4,5.6,22.4,12.1479813397,0.430877654092,7.73965533739,2.71282605928,0.0388101009911,11.6660596912,2.90040151316
60,1260.0,252.0,378.0,252.0,378.0,4,14.0,14.0,14.0,14.0,15.6289742552,0.575719786749,10.0773276141,3.17608524411,0.0454375571403,11.8334176207,4.05807820081
60,1260.0,252.0,378.0,252.0,378.0,4,11.2,16.8,11.2,16.8,16.8625687348,0.639156039156,11.0391752571,2.81921603725,0.0403321321496,9.92310075366,3.7941020094
60,1260.0,126.0,126.0,504.0,504.0,4,14.0,14.0,14.0,14.0,15.1833147969,0.631954923383,8.92436219509,2.98655803407,0.0427261521326,9.79526166457,3.82398876333
60,1260.0,126.0,126.0,504.0,504.0,4,5.6,5.6,22.4,22.4,43.5740689738,1.27283824268,32.4072884067,6.74083266086,0.0964353742613,39.20691936,16.4254733231
60,1260.0,126.0,126.0,126.0,882.0,4,14.0,14.0,14.0,14.0,29.2235254315,1.14043205612,19.0623492179,5.75733897131,0.0823653643964,23.7994446592,11.8969471275
60,1260.0,126.0,126.0,126.0,882.0,4,5.6,5.6,5.6,39.2,52.0270928266,1.31004188713,40.120894617,7.67442561753,0.109791496674,55.1520061945,16.3440200426
60,1260.0,252.0,252.0,630.0,126.0,4,14.0,14.0,14.0,14.0,19.2097381663,0.729761904762,12.4502528529,3.25208250985,0.0465247855486,12.1325409799,4.95549667338
60,1260.0,252.0,252.0,630.0,126.0,4,11.2,11.2,28.0,5.6,19.8978704364,0.726359263447,13.0483730017,3.96089072272,0.0566651033293,12.5552838969,5.18686156589
65,1260.0,315.0,315.0,315.0,315.0,4,15.25,15.25,15.25,15.25,17.6864184655,0.632611011438,11.6061414436,3.35734354337,0.0480306658565,12.8903588168,4.66614284636
65,1260.0,315.0,315.0,315.0,315.0,4,15.25,15.25,15.25,15.25,17.5124425549,0.621623451005,11.6762549535,3.40700283951,0.0487410992777,12.7506889225,4.78446385814
65,1260.0,126.0,504.0,126.0,504.0,4,15.25,15.25,15.25,15.25,18.1642225563,0.67289849907,12.0177169798,3.60075701612,0.0515129759102,13.1214077621,5.18586337776
65,1260.0,126.0,504.0,126.0,504.0,4,6.1,24.4,6.1,24.4,14.7714880191,0.556164444874,9.81146869128,3.33377267714,0.0476934574698,13.9709904894,3.97393192639
65,1260.0,252.0,378.0,252.0,378.0,4,15.25,15.25,15.25,15.25,18.5218152063,0.642604989512,12.5461877063,3.49786462799,0.0500409818025,13.8217415434,5.05995337136
65,1260.0,252.0,378.0,252.0,378.0,4,12.2,18.3,12.2,18.3,16.2702402524,0.615259039774,10.6412018494,3.10463589327,0.0444153918923,12.6619637828,4.35498864187
65,1260.0,126.0,126.0,504.0,504.0,4,15.25,15.25,15.25,15.25,19.7615611513,0.728845238095,12.9815469189,3.5936881392,0.051411847485,13.1112145101,5.5191114723
65,1260.0,126.0,126.0,504.0,504.0,4,6.1,6.1,24.4,24.4,38.0702474096,1.18919285842,27.3853021019,7.7535809044,0.110923904212,27.8985523585,14.4073119439
65,1260.0,126.0,126.0,126.0,882.0,4,15.25,15.25,15.25,15.25,35.2923506405,1.2937266628,23.8790568306,5.53542962238,0.0791906955992,26.1903555205,12.9739541903
65,1260.0,126.0,126.0,126.0,882.0,4,6.1,6.1,6.1,42.7,57.7932010163,1.44631414592,44.9456355445,8.63245461262,0.123497204758,48.6325392386,16.3428041806
