index_order,phase_group,predictor,sensitivity
first_order,1,flow_1,0.03387744
first_order,1,flow_2,0.04218781
first_order,1,flow_3,0.03423842
first_order,1,flow_4,0.04578994
first_order,1,lost_time,0.26688983
total_order,1,flow_1,0.33675454
total_order,1,flow_2,0.31773746
total_order,1,flow_3,0.36306585
total_order,1,flow_4,0.44983512
total_order,1,lost_time,0.69078965
first_order,2,flow_1,0.04643806
first_order,2,flow_2,0.00493544
first_order,2,flow_3,0.07501189
first_order,2,flow_4,0.01683896
first_order,2,lost_time,0.22284424
total_order,2,flow_1,0.38283312
total_order,2,flow_2,0.39357963
total_order,2,flow_3,0.49206298
total_order,2,flow_4,0.42272254
total_order,2,lost_time,0.52532446
first_order,3,flow_1,0.0381721
first_order,3,flow_2,0.04096238
first_order,3,flow_3,0.04734618
first_order,3,flow_4,0.04511934
first_order,3,lost_time,0.25572823
total_order,3,flow_1,0.35267031
total_order,3,flow_2,0.32047399
total_order,3,flow_3,0.37047719
total_order,3,flow_4,0.43297962
total_order,3,lost_time,0.66397433
first_order,4,flow_1,0.04686533
first_order,4,flow_2,0.00715493
first_order,4,flow_3,0.08123541
first_order,4,flow_4,0.01625125
first_order,4,lost_time,0.22802752
total_order,4,flow_1,0.3746252
total_order,4,flow_2,0.37882559
total_order,4,flow_3,0.49343411
total_order,4,flow_4,0.423958
total_order,4,lost_time,0.53557161
