cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),flow(4),losttime(s),green_time(1),green_time(2),green_time(3),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
40,3040.0,760.0,760.0,760.0,760.0,8,10.56,10.56,10.56,12.0258473429,0.551905381545,6.04688574672,7.05288984963,0.100899711726,4.76802658947,6.21820558472
40,3040.0,760.0,760.0,760.0,760.0,8,9.6,16.0,6.4,12.4920665541,0.547117021867,6.73310345991,7.07998737253,0.101287372998,8.36793827293,7.02130469693
40,3040.0,304.0,1216.0,304.0,1216.0,8,10.56,10.56,10.56,14.6656782139,0.661675830378,7.68651104561,7.8811316054,0.112748663883,6.86586810112,8.98165136216
40,3040.0,304.0,1216.0,304.0,1216.0,8,15.36,6.4,10.24,12.5315114475,0.550121252017,6.50167871248,7.19393284126,0.102917494153,7.41976389674,7.57416563208
40,3040.0,608.0,912.0,608.0,912.0,8,10.56,10.56,10.56,12.3094374977,0.566540179242,6.31453581184,7.1872665627,0.102822125361,5.0546089434,6.63557410382
40,3040.0,608.0,912.0,608.0,912.0,8,11.52,12.8,7.68,13.3830348088,0.581192695726,7.15612457254,7.35165778954,0.105173931181,8.25295756888,7.91322010558
40,3040.0,304.0,608.0,304.0,1824.0,8,10.56,10.56,10.56,60.1361699382,2.47839352796,32.9589796204,18.7316666832,0.267978064137,41.7672383882,35.2521661738
40,3040.0,304.0,608.0,304.0,1824.0,8,15.36,6.4,10.24,46.5188655036,1.91823572022,23.9084874994,15.5281840555,0.222148555872,35.4080163948,27.4364334643
50,3040.0,760.0,760.0,760.0,760.0,8,13.86,13.86,13.86,13.2960971024,0.544440005644,7.5620743452,7.47663831505,0.106961921532,6.95369434754,7.62172286988
50,3040.0,760.0,760.0,760.0,760.0,8,12.6,21.0,8.4,13.0323581287,0.522005813163,7.59387563144,7.18418694382,0.102778067866,8.60513482748,7.79789776006
50,3040.0,304.0,1216.0,304.0,1216.0,8,13.86,13.86,13.86,15.6012388471,0.623297982449,8.90884987794,8.14908357532,0.116582025398,8.53318156805,10.4769285377
50,3040.0,304.0,1216.0,304.0,1216.0,8,20.16,8.4,13.44,14.4611443326,0.564554730136,8.20904627752,7.45989088569,0.106722330267,8.4627620944,9.45725986659
50,3040.0,608.0,912.0,608.0,912.0,8,13.86,13.86,13.86,13.29001144,0.548684337766,7.42996211387,7.49250625344,0.107188930664,7.06752408341,8.17457383676
50,3040.0,608.0,912.0,608.0,912.0,8,15.12,16.8,10.08,12.9815761492,0.500710362567,7.60571178602,7.41353549203,0.106059162976,7.86825137413,8.35383353019
50,3040.0,304.0,608.0,304.0,1824.0,8,13.86,13.86,13.86,56.3331030823,2.10409520054,33.5384122237,17.0679855874,0.244177190092,45.6952140378,32.0768800916
50,3040.0,304.0,608.0,304.0,1824.0,8,20.16,8.4,13.44,47.8762403856,1.83883651193,26.3993594202,14.8472027214,0.212406333639,35.8125284247,27.6687798314
60,3040.0,760.0,760.0,760.0,760.0,8,17.16,17.16,17.16,12.6664518908,0.454350456929,7.62501063762,7.97813571076,0.114136419324,10.1494177207,10.1048416428
60,3040.0,760.0,760.0,760.0,760.0,8,15.6,26.0,10.4,14.2543489466,0.502984169028,8.96229121403,7.57404491266,0.108355435088,10.4693401453,9.52474471906
60,3040.0,304.0,1216.0,304.0,1216.0,8,17.16,17.16,17.16,14.952772873,0.548400943849,8.84774985586,8.63777917677,0.123573378781,11.2943522112,12.1647919408
60,3040.0,304.0,1216.0,304.0,1216.0,8,24.96,10.4,16.64,15.6159329364,0.561126444436,9.60323602076,7.71458411126,0.110366010175,10.0286747305,10.3620332051
