cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),flow(4),losttime(s),green_time(1),green_time(2),green_time(3),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
130,6080.0,608.0,2432.0,608.0,2432.0,8,40.26,40.26,40.26,103.269201923,2.41219181373,73.9396208733,30.5488618391,0.437036650059,70.0138542281,75.2673956434
130,6080.0,608.0,2432.0,608.0,2432.0,8,58.56,24.4,39.04,101.466330924,2.62601822351,68.9462120595,33.5756197827,0.480337908193,54.0715586065,79.9953386032
130,6080.0,1216.0,1824.0,1216.0,1824.0,8,40.26,40.26,40.26,112.225283832,2.47328058629,81.0203109014,37.9935759277,0.543541858765,54.5224602657,96.0094745757
130,6080.0,1216.0,1824.0,1216.0,1824.0,8,43.92,48.8,29.28,101.58670916,2.26715776992,74.6424853427,33.0848348621,0.473316664693,72.5902627037,84.1338640882
130,6080.0,608.0,1216.0,608.0,3648.0,8,40.26,40.26,40.26,63.7862790026,1.47902671825,45.8622890872,22.1260929628,0.316539241241,48.8052725364,52.6494038057
130,6080.0,608.0,1216.0,608.0,3648.0,8,58.56,24.4,39.04,62.4027957237,1.4992067867,42.9683654655,22.9943310194,0.328960386544,38.9264985694,54.9732669968
140,6080.0,1520.0,1520.0,1520.0,1520.0,8,43.56,43.56,43.56,104.365713092,2.19273146546,75.5281249747,36.1180524747,0.516710335832,50.3350040082,94.8598614008
140,6080.0,1520.0,1520.0,1520.0,1520.0,8,39.6,66.0,26.4,96.9435073565,1.83604012245,72.2724397325,32.9798269792,0.471814405997,75.8142610974,86.36004968
140,6080.0,608.0,2432.0,608.0,2432.0,8,43.56,43.56,43.56,99.0635236519,2.32993492301,70.5492108566,31.0684901821,0.444470531933,69.419529954,76.0700472246
140,6080.0,608.0,2432.0,608.0,2432.0,8,63.36,26.4,42.24,110.121907368,2.55735839399,77.8843202325,32.9671199221,0.471632616911,52.9995690753,79.3440855685
140,6080.0,1216.0,1824.0,1216.0,1824.0,8,43.56,43.56,43.56,114.477363072,2.52728535406,82.6129143828,37.9482365942,0.542893227384,57.6294390891,95.1792314657
140,6080.0,1216.0,1824.0,1216.0,1824.0,8,47.52,52.8,31.68,101.447749324,2.15213138513,74.2934291553,33.6051902472,0.480760947742,67.8758600683,85.5653482051
140,6080.0,608.0,1216.0,608.0,3648.0,8,43.56,43.56,43.56,66.9746737614,1.48434900219,49.6511599925,22.7783505219,0.325870536794,53.9116542523,55.1197998178
140,6080.0,608.0,1216.0,608.0,3648.0,8,63.36,26.4,42.24,74.1394400953,1.69666274567,53.6787964182,23.8162915548,0.340719478609,47.023961231,58.08786741
150,6080.0,1520.0,1520.0,1520.0,1520.0,8,46.86,46.86,46.86,119.172084297,2.42431800539,88.1442821055,38.2313845451,0.546943984908,56.6381260838,99.8684211454
