cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),losttime(s),green_time(1),green_time(2),green_time(3),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
40,7600.0,760.0,2280.0,4560.0,8,10.56,10.56,10.56,109.887439826,3.37434516353,74.0567878912,36.9019898772,0.527925463193,101.925027994,77.2400097154
40,7600.0,760.0,2280.0,4560.0,8,3.2,9.6,19.2,95.2925822431,3.47349260516,55.2564133874,39.8298233317,0.569811492585,58.7704608446,91.1923495085
40,7600.0,4560.0,2280.0,760.0,8,10.56,10.56,10.56,65.7681993214,2.62642566435,35.659982342,39.1686340111,0.560352417898,39.9131455544,75.8560464004
40,7600.0,4560.0,2280.0,760.0,8,19.2,9.6,3.2,58.9179429403,2.34472027021,30.2197066269,41.1112953589,0.588144425736,26.3682576236,88.0541480071
40,7600.0,3800.0,3040.0,760.0,8,10.56,10.56,10.56,77.6949947294,3.12527587932,41.9050271165,47.4275266404,0.678505388275,35.9765155192,99.008490947
40,7600.0,3800.0,3040.0,760.0,8,16.0,12.8,3.2,65.7242167585,2.58275424727,35.9710535631,43.8093623682,0.62674338152,36.4617798523,91.9141417431
40,7600.0,2660.0,2660.0,2280.0,8,10.56,10.56,10.56,81.1092616061,3.23398898433,45.1432292529,44.775074097,0.640558999957,41.6946339769,92.6641421597
40,7600.0,2660.0,2660.0,2280.0,8,11.2,11.2,9.6,82.3112217633,2.98550402979,49.4541141505,41.4025604347,0.592311308078,55.896897164,87.8656857841
40,7600.0,6080.0,760.0,760.0,8,10.56,10.56,10.56,69.2362796085,2.74864914545,38.3575409473,33.6415504478,0.481281122286,44.9199171277,68.3196924386
40,7600.0,6080.0,760.0,760.0,8,25.6,3.2,3.2,47.3238325129,1.76369449253,23.6092534782,29.1129323046,0.416494024387,31.2510810566,62.799499766
40,7600.0,1520.0,3040.0,3040.0,8,10.56,10.56,10.56,100.280687459,3.50098858947,61.5953853538,46.70995441,0.66823969113,62.3917660614,102.305067765
40,7600.0,1520.0,3040.0,3040.0,8,6.4,12.8,12.8,85.2163706881,3.17080079616,49.8436469775,41.9769255153,0.600528262021,52.950378478,89.852214927
40,7600.0,3040.0,3040.0,1520.0,8,10.56,10.56,10.56,76.6815542854,3.12077167318,41.0379562159,47.6519692201,0.681716297855,31.847840026,99.1283950628
40,7600.0,3040.0,3040.0,1520.0,8,12.8,12.8,6.4,76.2860092233,2.72392302322,44.5611689209,41.9408584955,0.600012281766,48.3058699036,89.4872783986
40,7600.0,2280.0,4560.0,760.0,8,10.56,10.56,10.56,34.4860772069,1.43953864121,16.9732122297,26.016067369,0.372189804992,18.2623295238,46.8456379382
40,7600.0,2280.0,4560.0,760.0,8,9.6,19.2,3.2,62.2920585796,2.14378609527,37.8313346097,41.0274889622,0.586945478715,55.4478661133,82.5983175189
50,7600.0,760.0,2280.0,4560.0,8,13.86,13.86,13.86,112.227061339,3.08050263384,78.2983066858,35.4367518923,0.506963546385,104.219540888,76.6077647273
50,7600.0,760.0,2280.0,4560.0,8,4.2,12.6,25.2,89.8228802813,2.97154397242,53.9242680707,36.9599135072,0.528754127427,58.7644774706,86.9542779936
50,7600.0,4560.0,2280.0,760.0,8,13.86,13.86,13.86,62.3683002072,2.13767835809,37.6590305779,35.199239683,0.503565660701,40.143513774,74.2095108271
50,7600.0,4560.0,2280.0,760.0,8,25.2,12.6,4.2,55.5462193738,2.08247821961,30.3293878557,38.8583030546,0.555912776174,29.5306086009,79.3368144547
50,7600.0,3800.0,3040.0,760.0,8,13.86,13.86,13.86,74.3750682448,2.61391680131,44.336353391,43.6847214822,0.624960250103,35.0310388318,96.5878547142
50,7600.0,3800.0,3040.0,760.0,8,21.0,16.8,4.2,57.239140527,1.99880639264,34.0950651448,37.8212285374,0.541076230864,35.1113830043,79.0698860499
50,7600.0,2660.0,2660.0,2280.0,8,13.86,13.86,13.86,82.4040102822,2.79342904873,50.6997615478,39.5400881339,0.565666496909,48.6781134828,89.166119739
50,7600.0,2660.0,2660.0,2280.0,8,14.7,14.7,12.6,77.5577774551,2.58889467987,48.5172171399,38.6329041972,0.55268818594,48.469828892,84.4361943075
50,7600.0,6080.0,760.0,760.0,8,13.86,13.86,13.86,73.5273229748,2.47289543765,45.788905253,32.0935014692,0.459134498844,51.7340496982,68.0859768252
50,7600.0,6080.0,760.0,760.0,8,33.6,4.2,4.2,44.081337141,1.59952375083,21.5057511185,28.1511422664,0.402734510248,27.13234757,59.2870142715
50,7600.0,1520.0,3040.0,3040.0,8,13.86,13.86,13.86,102.981224819,3.22488061031,67.3494251929,42.5714161648,0.609033135405,63.3823207847,99.5873051077
50,7600.0,1520.0,3040.0,3040.0,8,8.4,16.8,16.8,83.0414080593,2.73393989034,51.9260732699,39.270937287,0.561815984077,56.695690636,87.1949059126
50,7600.0,3040.0,3040.0,1520.0,8,13.86,13.86,13.86,72.9487970453,2.63371762411,42.3091405025,43.2730795977,0.61907123888,33.6701891094,96.2906218908
50,7600.0,3040.0,3040.0,1520.0,8,16.8,16.8,8.4,74.2918487691,2.41301745851,46.9063593835,38.0392597591,0.544195418585,51.2447612421,84.0016407679
50,7600.0,2280.0,4560.0,760.0,8,13.86,13.86,13.86,32.5350242306,1.16350174485,18.4527045466,24.4071543766,0.349172451739,19.4513270388,44.4987092999
50,7600.0,2280.0,4560.0,760.0,8,12.6,25.2,4.2,62.5523391867,1.83878448911,42.1803827373,37.9018123861,0.542229075624,56.0950070096,79.6369041854
60,7600.0,760.0,2280.0,4560.0,8,17.16,17.16,17.16,118.100456837,2.88581618044,85.620458682,34.3302307346,0.491133486904,113.837203354,76.5324283205
60,7600.0,760.0,2280.0,4560.0,8,5.2,15.6,31.2,90.1678701101,2.84380642985,55.0631389901,35.9577706367,0.514417319552,65.8687853363,84.3950020717
60,7600.0,4560.0,2280.0,760.0,8,17.16,17.16,17.16,62.6878390507,1.9179150899,39.7490254119,35.536618776,0.508392257167,46.8103116089,73.5259800236
60,7600.0,4560.0,2280.0,760.0,8,31.2,15.6,5.2,53.8742340681,1.76800978162,31.7913114402,34.9804449202,0.500435549645,30.0218279789,74.1874599422
60,7600.0,3800.0,3040.0,760.0,8,17.16,17.16,17.16,71.6925740708,2.19376802292,45.5571884722,42.2369732266,0.604248544014,34.6580156797,94.1359383178
60,7600.0,3800.0,3040.0,760.0,8,26.0,20.8,5.2,62.3209782027,1.95665044489,39.3563187902,37.840855787,0.541357021273,42.9181237816,81.8403247151
60,7600.0,2660.0,2660.0,2280.0,8,17.16,17.16,17.16,73.6879035837,2.30479459032,46.9306879675,37.5366482897,0.537004982686,43.1288775899,86.1251630953
60,7600.0,2660.0,2660.0,2280.0,8,18.2,18.2,15.6,78.1975051097,2.31833841379,51.5572658966,36.0582537943,0.515854846842,55.3614967432,80.7593296555
60,7600.0,6080.0,760.0,760.0,8,17.16,17.16,17.16,63.9672877364,1.86132226725,41.5847817474,30.9338525971,0.442544386224,50.5551935273,68.0954381923
60,7600.0,6080.0,760.0,760.0,8,41.6,5.2,5.2,43.7960648809,1.46116107334,22.6765567817,27.4246365563,0.392341009389,32.0997940686,56.9690112361
60,7600.0,1520.0,3040.0,3040.0,8,17.16,17.16,17.16,95.893107653,2.74533952549,64.7259260867,41.6667136615,0.596090324199,68.0571989506,95.2774668362
60,7600.0,1520.0,3040.0,3040.0,8,10.4,20.8,20.8,83.6470727905,2.52278014341,54.9487414114,37.4496081034,0.535759772581,66.4620765369,84.3008671206
60,7600.0,3040.0,3040.0,1520.0,8,17.16,17.16,17.16,72.5935259373,2.30325884399,45.6725514859,40.8475830841,0.584371717941,34.7928214408,94.3210968525
