cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),losttime(s),green_time(1),green_time(2),green_time(3),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
110,3800.0,1140.0,2280.0,380.0,8,33.66,33.66,33.66,20.4834434864,0.485322012652,15.3218433925,12.1081182226,0.17322057543,19.1791156415,20.2640063931
110,3800.0,1140.0,2280.0,380.0,8,30.6,61.2,10.2,15.6685138886,0.39194957456,11.6480349228,9.98237082224,0.142809310762,18.1129350141,14.3741029912
120,3800.0,380.0,1140.0,2280.0,8,36.96,36.96,36.96,98.7521133837,2.03715377291,75.0422965811,26.7308865042,0.38241611594,100.087278739,71.4312556661
120,3800.0,380.0,1140.0,2280.0,8,11.2,33.6,67.2,35.2846830467,0.894417628994,22.4612549696,15.2825122897,0.218633938337,29.0736277636,33.1050155395
120,3800.0,2280.0,1140.0,380.0,8,36.96,36.96,36.96,26.2273426742,0.592107023412,19.5305944386,13.8009244821,0.197438118485,24.388799569,26.3688502643
120,3800.0,2280.0,1140.0,380.0,8,67.2,33.6,11.2,18.6744142518,0.412705695822,14.1344957799,10.5426976376,0.150825431152,23.1572078315,17.2109322088
120,3800.0,1900.0,1520.0,380.0,8,36.96,36.96,36.96,22.2186552559,0.499024300428,16.5658034077,12.3485171204,0.176659758517,20.8259024939,22.6734590277
120,3800.0,1900.0,1520.0,380.0,8,56.0,44.8,11.2,17.4716897652,0.407253160872,13.1524457968,10.8255638405,0.154872157947,19.9885209847,16.9577804189
120,3800.0,1330.0,1330.0,1140.0,8,36.96,36.96,36.96,24.0905291324,0.589518750844,17.3523989541,12.3046304891,0.176031909715,22.1941775288,23.8828632163
120,3800.0,1330.0,1330.0,1140.0,8,39.2,39.2,33.6,25.2357516719,0.593882108743,18.1160275876,12.3887046031,0.177234686739,22.7721843739,24.8316683109
120,3800.0,3040.0,380.0,380.0,8,36.96,36.96,36.96,55.5674630283,1.18872857676,39.9724174103,22.2879156668,0.318854301384,54.4166988657,46.810035621
120,3800.0,3040.0,380.0,380.0,8,89.6,11.2,11.2,13.50130261,0.27091026944,10.1287675128,7.89455203618,0.112940658601,20.8327715374,9.36592249888
120,3800.0,760.0,1520.0,1520.0,8,36.96,36.96,36.96,40.7840727322,0.941727503571,29.6286901264,16.8812704408,0.24150601489,40.9557377925,37.7647767153
120,3800.0,760.0,1520.0,1520.0,8,22.4,44.8,44.8,27.8987584401,0.670658906614,19.7285619521,13.040999082,0.186566510473,25.1741118249,27.2546451031
120,3800.0,1520.0,1520.0,760.0,8,36.96,36.96,36.96,21.0932427564,0.484910692053,15.660568178,11.5276084504,0.164915714598,19.3557342343,21.2381435958
120,3800.0,1520.0,1520.0,760.0,8,44.8,44.8,22.4,20.4917259639,0.481295205075,15.2096147945,11.4899887463,0.164377521407,21.2265967135,20.502003447
120,3800.0,1140.0,2280.0,380.0,8,36.96,36.96,36.96,21.4191286129,0.467918283695,16.5186113337,12.3237316888,0.176305174376,20.9835207834,23.1642729177
120,3800.0,1140.0,2280.0,380.0,8,33.6,67.2,11.2,17.5335471908,0.403096961433,13.5259869746,10.5051752704,0.150288630478,19.5903615743,16.1161783111
130,3800.0,380.0,1140.0,2280.0,8,40.26,40.26,40.26,94.1728090231,1.88263816328,71.5219344033,26.712517916,0.382153332131,92.0655444701,69.6313845508
