cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),flow(4),losttime(s),green_time(1),green_time(2),green_time(3),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
90,6840.0,684.0,2736.0,684.0,2736.0,12,25.74,25.74,25.74,101.452421086,2.5171201733,70.8287601237,28.1050897505,0.402075675973,63.442433528,74.3520062843
90,6840.0,684.0,2736.0,684.0,2736.0,12,56.16,15.6,6.24,169.067791471,3.38177070189,132.826709758,31.8423751079,0.455541847037,113.027239612,90.5154906117
90,6840.0,1368.0,2052.0,1368.0,2052.0,12,25.74,25.74,25.74,116.18707372,2.7430515125,83.0105737475,35.7330412142,0.511202306355,46.7492362311,99.9032544549
90,6840.0,1368.0,2052.0,1368.0,2052.0,12,42.12,31.2,4.68,152.467504522,2.71786102928,122.212583283,29.5488730146,0.422730658292,138.315038212,93.4040337326
90,6840.0,684.0,1368.0,684.0,4104.0,12,25.74,25.74,25.74,67.1383607231,1.64968649062,48.1534508982,21.5402630897,0.308158270239,41.1015416631,52.5046768421
90,6840.0,684.0,1368.0,684.0,4104.0,12,56.16,15.6,6.24,154.527339081,3.10524517656,120.58868007,29.1672204453,0.41727067876,101.150880836,88.3407402741
100,6840.0,1710.0,1710.0,1710.0,1710.0,12,29.04,29.04,29.04,108.95749874,2.51041673115,77.6070034767,35.1923793154,0.503467515242,45.802027724,97.5642454402
100,6840.0,1710.0,1710.0,1710.0,1710.0,12,39.6,44.0,4.4,139.351514669,2.3887352236,112.211464718,29.3753890458,0.420248770326,143.766781364,92.657587927
100,6840.0,684.0,2736.0,684.0,2736.0,12,29.04,29.04,29.04,98.8232941237,2.54614279368,69.2220735865,30.2533682748,0.432809274318,68.4668725126,75.155962716
100,6840.0,684.0,2736.0,684.0,2736.0,12,63.36,17.6,7.04,152.296104054,2.96935389309,117.485616299,31.784358682,0.45471185525,99.8921461283,88.3468156622
100,6840.0,1368.0,2052.0,1368.0,2052.0,12,29.04,29.04,29.04,120.095312984,2.83478075714,86.3218692326,35.1517701513,0.502886554382,58.2695102639,99.2401207343
100,6840.0,1368.0,2052.0,1368.0,2052.0,12,47.52,35.2,5.28,148.493414316,2.50331344784,120.983578661,26.402996773,0.377725275722,149.962598838,90.6999276858
100,6840.0,684.0,1368.0,684.0,4104.0,12,29.04,29.04,29.04,88.4009519728,2.19863697646,61.6716384564,28.3227578666,0.405189669049,60.264616916,71.4510936774
100,6840.0,684.0,1368.0,684.0,4104.0,12,63.36,17.6,7.04,153.232653009,2.92830400781,120.525187857,30.258738282,0.432886098455,102.734335385,86.194246207
110,6840.0,1710.0,1710.0,1710.0,1710.0,12,32.34,32.34,32.34,113.952803195,2.64982728138,81.7348966728,36.1132811518,0.516642076563,48.3881524117,99.7454977971
110,6840.0,1710.0,1710.0,1710.0,1710.0,12,44.1,49.0,4.9,119.43376588,1.90839797348,97.6044214163,26.7033941667,0.38202280639,142.270078075,89.5758544817
110,6840.0,684.0,2736.0,684.0,2736.0,12,32.34,32.34,32.34,103.71587729,2.31901695409,75.2207282319,28.5690781502,0.408713564381,71.5383849468,75.9690619832
110,6840.0,684.0,2736.0,684.0,2736.0,12,70.56,19.6,7.84,155.50054095,3.186525858,120.147444034,30.7370747889,0.439729253059,107.149927292,88.7633843589
110,6840.0,1368.0,2052.0,1368.0,2052.0,12,32.34,32.34,32.34,108.740579067,2.4664012095,76.9966542559,35.6718024639,0.510326215506,46.5995316171,99.0429930713
110,6840.0,1368.0,2052.0,1368.0,2052.0,12,52.92,39.2,5.88,146.551849969,2.53940032035,118.597753267,29.2222086412,0.418057348229,138.706949125,90.8389995578
110,6840.0,684.0,1368.0,684.0,4104.0,12,32.34,32.34,32.34,67.8180623734,1.58262775375,48.8752748051,21.6934723962,0.310350105811,50.8787436823,55.8410379469
110,6840.0,684.0,1368.0,684.0,4104.0,12,70.56,19.6,7.84,156.918409356,3.06522224326,123.366978481,30.3635960326,0.434386209335,112.888475307,86.4878826648
120,6840.0,1710.0,1710.0,1710.0,1710.0,12,35.64,35.64,35.64,116.026740306,2.40937908057,85.6085708062,34.7335019766,0.496902746447,54.9715844022,98.7801434047
120,6840.0,1710.0,1710.0,1710.0,1710.0,12,48.6,54.0,5.4,134.807084097,2.16866486912,109.70769568,27.2477292591,0.389810146768,141.893647762,91.0245119936
120,6840.0,684.0,2736.0,684.0,2736.0,12,35.64,35.64,35.64,111.974280877,2.55486456905,82.6260638021,28.0136209117,0.400767108895,75.6239013643,76.3463209088
120,6840.0,684.0,2736.0,684.0,2736.0,12,77.76,21.6,8.64,167.330365694,3.24762498288,132.048016996,29.9149457034,0.427967749691,119.397380286,87.5023973222
120,6840.0,1368.0,2052.0,1368.0,2052.0,12,35.64,35.64,35.64,116.43295686,2.54743023518,85.2585591846,33.9373116825,0.485512327361,52.8338535621,98.4862382207
120,6840.0,1368.0,2052.0,1368.0,2052.0,12,58.32,43.2,6.48,138.942946972,2.42088894512,112.253563744,30.2032278208,0.432091957379,131.468809413,92.2001060292
120,6840.0,684.0,1368.0,684.0,4104.0,12,35.64,35.64,35.64,93.493918069,2.23929827518,67.4738240507,27.92027526,0.399431691845,60.9200984999,69.3095940912
120,6840.0,684.0,1368.0,684.0,4104.0,12,77.76,21.6,8.64,162.905811726,2.78228010282,131.786747294,29.9233285075,0.428087675358,120.747166297,84.3321537386
40,6840.0,1710.0,1710.0,1710.0,1710.0,15,8.25,8.25,8.25,128.326803168,4.44113069844,80.3742554236,41.9096259815,0.599565464686,45.7835375284,104.98519404
40,6840.0,1710.0,1710.0,1710.0,1710.0,15,11.25,12.5,1.25,194.987032427,4.72160216145,148.60943146,34.5277114123,0.493958675426,182.453832927,103.58191969
40,6840.0,684.0,2736.0,684.0,2736.0,15,8.25,8.25,8.25,108.213432424,3.88925281948,67.0607717341,33.2692787183,0.47595534647,65.5404487484,77.1676612651
40,6840.0,684.0,2736.0,684.0,2736.0,15,18.0,5.0,2.0,259.819734817,6.03751674481,202.160755398,36.1703827562,0.517458980776,148.557519401,109.909683546
40,6840.0,1368.0,2052.0,1368.0,2052.0,15,8.25,8.25,8.25,142.103893349,4.8504775897,90.8924611318,41.8783295838,0.599117733674,51.3143035451,107.41691137
40,6840.0,1368.0,2052.0,1368.0,2052.0,15,13.5,10.0,1.5,203.117395328,4.85322339103,155.15152888,34.9110528983,0.499442816857,171.938040152,107.861363973
40,6840.0,684.0,1368.0,684.0,4104.0,15,8.25,8.25,8.25,97.4326405542,3.42030421431,61.7135854858,30.4204175616,0.435199106747,63.0749375002,68.9237111892
40,6840.0,684.0,1368.0,684.0,4104.0,15,18.0,5.0,2.0,242.097433607,5.84183252511,186.459292312,34.0973497114,0.487801855671,141.395100747,108.06303433
50,6840.0,1710.0,1710.0,1710.0,1710.0,15,11.55,11.55,11.55,120.858614234,3.84498043937,78.5131537867,39.8175201923,0.569635482007,46.9173480161,102.790687207
50,6840.0,1710.0,1710.0,1710.0,1710.0,15,15.75,17.5,1.75,197.915181359,3.90590890727,160.343598554,32.2567995943,0.461470666585,225.695361534,100.621409087
50,6840.0,684.0,2736.0,684.0,2736.0,15,11.55,11.55,11.55,100.317893191,3.28338076693,64.4151608015,31.3884744731,0.449048275724,62.8248928159,74.2734110776
50,6840.0,684.0,2736.0,684.0,2736.0,15,25.2,7.0,2.8,249.253657415,4.95475234327,198.685889268,34.889377545,0.499132725966,159.591960394,107.927196424
50,6840.0,1368.0,2052.0,1368.0,2052.0,15,11.55,11.55,11.55,128.634262504,3.99460154047,84.1051053088,40.104618374,0.573742752132,50.3160501899,104.815270994
50,6840.0,1368.0,2052.0,1368.0,2052.0,15,18.9,14.0,2.1,201.70973358,4.24295338111,159.164617226,33.150815851,0.474260598726,157.059674641,104.597842813
50,6840.0,684.0,1368.0,684.0,4104.0,15,11.55,11.55,11.55,61.6357500785,2.08797076803,39.1988916153,21.9975120312,0.314699742936,36.4361897105,49.3194495609
50,6840.0,684.0,1368.0,684.0,4104.0,15,25.2,7.0,2.8,235.668925609,4.78863884844,188.458835913,32.7625936946,0.468706633686,146.137114108,106.005088142
60,6840.0,1710.0,1710.0,1710.0,1710.0,15,14.85,14.85,14.85,111.766687924,3.17685376847,76.1263499302,36.5328469861,0.522644449014,46.3649097843,95.1437563336
60,6840.0,1710.0,1710.0,1710.0,1710.0,15,20.25,22.5,2.25,196.698803094,3.54665885144,160.902320143,29.6837369572,0.424660042307,221.944250668,99.3465170644
60,6840.0,684.0,2736.0,684.0,2736.0,15,14.85,14.85,14.85,109.740323481,3.15419457869,74.9905393104,29.4830643028,0.421789188881,66.8449124406,73.7939273043
60,6840.0,684.0,2736.0,684.0,2736.0,15,32.4,9.0,3.6,235.380617451,4.46468796749,189.866385261,33.0857430624,0.473329657546,142.893067152,106.296720852
60,6840.0,1368.0,2052.0,1368.0,2052.0,15,14.85,14.85,14.85,121.214335363,3.43850252353,82.2535131052,38.9051829147,0.556583446562,42.8771047023,102.947937505
60,6840.0,1368.0,2052.0,1368.0,2052.0,15,24.3,18.0,2.7,210.191801245,3.97525673218,170.469160714,31.8685533034,0.455916356271,189.540810313,103.125968412
60,6840.0,684.0,1368.0,684.0,4104.0,15,14.85,14.85,14.85,66.5269985466,2.07038803889,44.713158866,21.5669461554,0.308540002223,36.7366809124,50.1089390026
