cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),flow(4),losttime(s),green_time(1),green_time(2),green_time(3),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
40,3040.0,760.0,760.0,760.0,760.0,9,10.23,10.23,10.23,16.6085868137,0.698877347337,9.55005467632,7.58187009582,0.108467383345,6.70448819593,9.64135935427
40,3040.0,760.0,760.0,760.0,760.0,9,13.95,15.5,1.55,68.6616702926,1.70413726273,54.2794359355,12.0827965701,0.17285832003,108.975450773,42.5970213082
40,3040.0,304.0,1216.0,304.0,1216.0,9,10.23,10.23,10.23,18.4279711089,0.766994994127,10.373396448,8.20371171645,0.117363543869,10.6536102192,11.4803949568
40,3040.0,304.0,1216.0,304.0,1216.0,9,22.32,6.2,2.48,162.46609244,3.69779284568,128.608825514,21.058136271,0.301260890858,166.304699569,62.7395827724
40,3040.0,608.0,912.0,608.0,912.0,9,10.23,10.23,10.23,15.9269664161,0.670234354603,8.89698090354,7.24274688455,0.103615835258,6.47823886547,9.31586313382
40,3040.0,608.0,912.0,608.0,912.0,9,16.74,12.4,1.86,122.489284166,2.70770032616,98.0301720383,15.9415901245,0.228062805787,157.199721695,55.706492148
40,3040.0,304.0,608.0,304.0,1824.0,9,10.23,10.23,10.23,55.3823849926,2.15103154512,30.8669029453,16.5535726684,0.236817920864,37.9468999306,33.9244037455
40,3040.0,304.0,608.0,304.0,1824.0,9,22.32,6.2,2.48,111.258599943,2.37618849646,90.0417854905,14.1804061368,0.202867040584,139.732728721,47.9254820701
50,3040.0,760.0,760.0,760.0,760.0,9,13.53,13.53,13.53,16.9799817709,0.641239083901,10.2212207023,7.52996866638,0.107724873625,9.1878270411,10.5085865911
50,3040.0,760.0,760.0,760.0,760.0,9,18.45,20.5,2.05,79.7488043867,1.75056061929,64.2856629211,14.6736036707,0.209922799294,115.189626203,46.8853078659
50,3040.0,304.0,1216.0,304.0,1216.0,9,13.53,13.53,13.53,18.0224244884,0.690771059662,10.5953997915,7.96927303146,0.11400962849,10.1468686372,12.1483098805
50,3040.0,304.0,1216.0,304.0,1216.0,9,29.52,8.2,3.28,153.04538619,3.3057062746,122.540790366,21.410372218,0.306300031731,139.345965231,60.8418656243
50,3040.0,608.0,912.0,608.0,912.0,9,13.53,13.53,13.53,16.3085183254,0.626249267681,9.82762478041,7.50597012117,0.107381546798,8.66370619037,10.58024876
50,3040.0,608.0,912.0,608.0,912.0,9,22.14,16.4,2.46,114.508224596,2.2818907621,93.8695245965,15.4614894524,0.221194412767,146.640546493,55.2871812305
50,3040.0,304.0,608.0,304.0,1824.0,9,13.53,13.53,13.53,60.0449689403,2.15341760268,35.9546134456,17.015629452,0.243428175279,43.258287487,34.1695950425
50,3040.0,304.0,608.0,304.0,1824.0,9,29.52,8.2,3.28,96.3634875105,2.02195566947,76.9669082069,14.6574133157,0.20969117762,110.449083158,43.2557097787
60,3040.0,760.0,760.0,760.0,760.0,9,16.83,16.83,16.83,19.1149666678,0.655808002786,12.6937433906,7.51365221066,0.107491447935,8.81818887528,11.6339498469
60,3040.0,760.0,760.0,760.0,760.0,9,22.95,25.5,2.55,94.4970746195,1.77396329907,78.7825604773,13.4441104862,0.192333483351,156.519855191,51.2928631579
60,3040.0,304.0,1216.0,304.0,1216.0,9,16.83,16.83,16.83,22.3787376905,0.764825938043,14.6540113259,8.04442749705,0.115084799672,12.5951739924,13.7191548623
60,3040.0,304.0,1216.0,304.0,1216.0,9,36.72,10.2,4.08,125.42428062,2.62310786864,99.3895044612,19.9484053049,0.285384911372,124.385516818,58.2118717848
60,3040.0,608.0,912.0,608.0,912.0,9,16.83,16.83,16.83,19.3695254735,0.670306767711,12.6760056764,7.58980050353,0.10858083696,7.73004347013,11.461360156
60,3040.0,608.0,912.0,608.0,912.0,9,27.54,20.4,3.06,94.4211195146,1.88428722014,77.0446198359,15.7694052107,0.225599502299,128.781603455,51.9443040528
60,3040.0,304.0,608.0,304.0,1824.0,9,16.83,16.83,16.83,65.7478638881,2.08337370311,44.2082742278,15.2282079147,0.217857051713,48.7199868862,34.943490867
60,3040.0,304.0,608.0,304.0,1824.0,9,36.72,10.2,4.08,88.9128373672,1.90218640175,69.7693485517,14.5779310729,0.208554092603,101.850942035,43.8807488827
70,3040.0,760.0,760.0,760.0,760.0,9,20.13,20.13,20.13,18.4154171033,0.561120493269,12.5720511728,8.02516264957,0.114809193842,13.5701895028,13.4354272381
70,3040.0,760.0,760.0,760.0,760.0,9,27.45,30.5,3.05,53.9461580429,1.18260705174,43.2884705255,11.2522502778,0.160976398824,86.0516741045,39.2052144828
70,3040.0,304.0,1216.0,304.0,1216.0,9,20.13,20.13,20.13,20.906523277,0.655517939566,13.8051297375,8.70301828291,0.124506699326,14.2949346679,15.3701806717
70,3040.0,304.0,1216.0,304.0,1216.0,9,43.92,12.2,4.88,130.439380123,2.22470049358,107.368733605,18.7422997403,0.268130182264,148.908632556,58.4239870774
70,3040.0,608.0,912.0,608.0,912.0,9,20.13,20.13,20.13,18.392650834,0.577937984481,12.3210065084,8.20624685278,0.117399811914,12.6088338007,13.8268678207
70,3040.0,608.0,912.0,608.0,912.0,9,32.94,24.4,3.66,77.2650343933,1.38607902534,63.8138373461,13.6488820275,0.195262976073,116.911427069,51.0008928966
70,3040.0,304.0,608.0,304.0,1824.0,9,20.13,20.13,20.13,64.6224627299,1.96159326194,43.3887818363,16.3188575756,0.233460051153,48.9272729308,36.7588720989
70,3040.0,304.0,608.0,304.0,1824.0,9,43.92,12.2,4.88,82.8039882865,1.71890785385,64.9272555455,13.9574498842,0.199677394623,91.672612912,43.5147487519
80,3040.0,760.0,760.0,760.0,760.0,9,23.43,23.43,23.43,19.460382968,0.555639694705,13.8041857152,8.5206048917,0.12189706569,15.130537792,15.0980023214
80,3040.0,760.0,760.0,760.0,760.0,9,31.95,35.5,3.55,57.0304492547,1.18015595826,45.984347098,12.6752831697,0.181334523171,92.5062250098,44.6669421933
