cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),flow(4),losttime(s),green_time(1),green_time(2),green_time(3),green_time(4),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
40,11400.0,1140.0,7980.0,1140.0,1140.0,8,8.0,8.0,8.0,8.0,120.147045282,4.20613792129,80.1334777144,46.1519008427,0.66025609217,54.4008945694,75.418312718
40,11400.0,1140.0,7980.0,1140.0,1140.0,8,3.2,22.4,3.2,3.2,244.810043798,6.08249877596,190.791178592,52.5629130965,0.751973005673,98.1626133323,92.5399362995
40,11400.0,1140.0,7980.0,1140.0,1140.0,8,9.6,9.6,6.4,6.4,172.238263423,5.36984288255,123.319934657,49.5768004328,0.709253225076,67.1010141589,87.8807807589
40,11400.0,1140.0,7980.0,1140.0,1140.0,8,6.4,6.4,9.6,9.6,90.3307788992,3.45376401689,56.1784949852,40.2654085077,0.576043040167,40.7809554959,63.9755306503
40,11400.0,2850.0,2850.0,2850.0,2850.0,8,8.0,8.0,8.0,8.0,158.895235047,5.53609209778,105.496314888,57.1077931842,0.816992749416,48.9213191389,94.87748855
40,11400.0,2850.0,2850.0,2850.0,2850.0,8,8.0,8.0,8.0,8.0,160.5578622,5.60558063813,107.121458358,55.7371411003,0.797383992851,51.1738475593,94.617876058
40,11400.0,2850.0,2850.0,2850.0,2850.0,8,9.6,9.6,6.4,6.4,184.541717681,5.7172251332,131.858127123,53.529478674,0.765800839399,59.0615630055,95.1083035816
40,11400.0,2850.0,2850.0,2850.0,2850.0,8,6.4,6.4,9.6,9.6,140.003952916,5.24939117639,88.3380105347,59.0407339135,0.844645692611,38.7061996506,94.5544178584
40,11400.0,4560.0,4560.0,1140.0,1140.0,8,8.0,8.0,8.0,8.0,161.664755092,5.76303768779,107.222484936,57.8946969069,0.828250313404,49.3503200811,94.9145580184
40,11400.0,4560.0,4560.0,1140.0,1140.0,8,12.8,12.8,3.2,3.2,258.108555074,6.45598657314,201.787361158,49.0088495623,0.701128033795,99.0175176485,95.9941757734
40,11400.0,4560.0,4560.0,1140.0,1140.0,8,9.6,9.6,6.4,6.4,181.02464019,5.70252520734,128.382650143,54.0335823371,0.773012622848,59.5184337871,95.0654863138
40,11400.0,4560.0,4560.0,1140.0,1140.0,8,6.4,6.4,9.6,9.6,139.683085041,5.26988958172,87.8443982249,59.346289593,0.849017018498,38.9021611825,94.4209940046
40,11400.0,3420.0,3420.0,2280.0,2280.0,8,8.0,8.0,8.0,8.0,159.539665176,5.65275213939,105.822310508,57.6631711817,0.824938071269,48.4632982055,94.7931736973
40,11400.0,3420.0,3420.0,2280.0,2280.0,8,9.6,9.6,6.4,6.4,181.562931829,5.70752731544,128.901685921,53.7198190018,0.768523876993,57.2383710057,95.1204051504
40,11400.0,3420.0,3420.0,2280.0,2280.0,8,9.6,9.6,6.4,6.4,181.562931829,5.70752731544,128.901685921,53.7198190018,0.768523876993,57.2383710057,95.1204051504
40,11400.0,3420.0,3420.0,2280.0,2280.0,8,6.4,6.4,9.6,9.6,139.610861134,5.23867311601,87.9754806242,59.2047765447,0.846992511369,39.9665798368,94.4189739731
40,11400.0,6840.0,2280.0,1140.0,1140.0,8,8.0,8.0,8.0,8.0,155.600620765,5.49286328262,103.847842147,55.7909955921,0.798154443377,54.3870603452,92.1776803943
40,11400.0,6840.0,2280.0,1140.0,1140.0,8,19.2,6.4,3.2,3.2,255.829206438,6.11809500968,201.07766105,51.3162874282,0.734138589817,110.525403618,94.5824274377
40,11400.0,6840.0,2280.0,1140.0,1140.0,8,9.6,9.6,6.4,6.4,181.414600532,5.54360571904,129.525922834,51.620739239,0.738494123591,65.1810882469,93.1140447757
40,11400.0,6840.0,2280.0,1140.0,1140.0,8,6.4,6.4,9.6,9.6,137.952469653,5.18898513504,87.7702459202,58.0637577181,0.830668923005,43.5231645241,92.2414302781
40,11400.0,2280.0,2280.0,3420.0,3420.0,8,8.0,8.0,8.0,8.0,155.861889944,5.43320032388,103.421893103,56.9916551857,0.815331261598,49.4142827288,94.8764123027
40,11400.0,2280.0,2280.0,3420.0,3420.0,8,6.4,6.4,9.6,9.6,141.124856914,5.23751729941,89.5116378875,58.4728647048,0.836521669597,40.2822154231,94.5318270125
40,11400.0,2280.0,2280.0,3420.0,3420.0,8,9.6,9.6,6.4,6.4,186.942786145,5.79973940593,133.6163873,53.4666419216,0.764901887291,60.513978037,95.0386903229
