cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),flow(4),losttime(s),green_time(1),green_time(2),green_time(3),green_time(4),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
180,7980.0,1596.0,1596.0,2394.0,2394.0,8,43.0,43.0,43.0,43.0,98.5064334209,2.13654001135,70.5570132758,57.2206180066,0.818606838435,68.7008675182,104.208042029
180,7980.0,1596.0,1596.0,2394.0,2394.0,8,34.4,34.4,51.6,51.6,105.340418849,2.09671999346,76.4878303243,59.6595301001,0.853498284694,72.6342092825,112.032435903
180,7980.0,2394.0,3192.0,798.0,1596.0,8,43.0,43.0,43.0,43.0,107.801867897,1.91260237183,81.1411898299,58.9945094044,0.843984397774,75.1233730813,107.643333327
180,7980.0,2394.0,3192.0,798.0,1596.0,8,51.6,68.8,17.2,34.4,99.602330503,1.86058514208,73.8462144654,57.4416961873,0.821769616413,66.600787241,100.411424996
180,7980.0,5586.0,798.0,798.0,798.0,8,43.0,43.0,43.0,43.0,75.9033933745,1.09296900858,58.9963842389,40.5258750877,0.579769314559,75.5784267725,79.1864290143
180,7980.0,5586.0,798.0,798.0,798.0,8,120.4,17.2,17.2,17.2,54.657851355,1.25657520756,34.5758769393,39.8569029283,0.5701988974,39.6550409818,63.1574100652
180,7980.0,3990.0,1596.0,798.0,1596.0,8,43.0,43.0,43.0,43.0,92.2876875134,1.59744910893,69.4915488657,52.2084855238,0.74690251107,65.92343405,100.055149491
180,7980.0,3990.0,1596.0,798.0,1596.0,8,86.0,34.4,17.2,34.4,92.0565781227,1.75934025876,68.1364364692,56.0675616848,0.802111039839,69.7086900054,95.3185322344
180,7980.0,3192.0,1596.0,1596.0,1596.0,8,43.0,43.0,43.0,43.0,97.9024224589,1.86612689478,72.1727290118,54.2420933432,0.775995612922,69.7770291972,101.352956261
180,7980.0,3192.0,1596.0,1596.0,1596.0,8,68.8,34.4,34.4,34.4,83.515498628,1.65835908929,60.7784765692,51.1736777932,0.732098394752,59.2569761262,89.4813848031
190,7980.0,798.0,5586.0,798.0,798.0,8,45.5,45.5,45.5,45.5,74.8836217307,1.02537596967,58.7688360751,40.6027108208,0.580868538209,74.2224497839,77.3492832171
190,7980.0,798.0,5586.0,798.0,798.0,8,18.2,127.4,18.2,18.2,55.1879762226,1.18492135179,36.5270508739,37.8636045577,0.541682468637,44.0260396146,62.8485787477
190,7980.0,1995.0,1995.0,1995.0,1995.0,8,45.5,45.5,45.5,45.5,116.35468868,2.32675925449,84.3849657679,63.1609022787,0.903589446047,76.1455102878,118.615701088
190,7980.0,1995.0,1995.0,1995.0,1995.0,8,45.5,45.5,45.5,45.5,117.964506703,2.28839113105,85.9950422691,62.6646637013,0.896490181707,78.4553083225,119.105805893
190,7980.0,3192.0,3192.0,798.0,798.0,8,45.5,45.5,45.5,45.5,123.887090434,1.97876579112,94.9857772581,69.0717040386,0.98815027237,75.872671142,127.513521946
