cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),flow(4),losttime(s),green_time(1),green_time(2),green_time(3),green_time(4),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
60,11400.0,1140.0,9120.0,570.0,570.0,8,13.0,13.0,13.0,13.0,105.359011878,3.57554978279,71.0884623071,33.5656170721,0.480194807899,57.98342406,55.9083737916
60,11400.0,1140.0,9120.0,570.0,570.0,8,5.2,41.6,2.6,2.6,370.89559676,6.09339081858,318.928281706,39.9080796515,0.570931039364,179.222248147,92.1828024812
60,11400.0,2850.0,2850.0,2850.0,2850.0,8,13.0,13.0,13.0,13.0,165.143175248,5.40234062961,113.57733972,55.803000478,0.798326187096,49.812381135,95.128269913
60,11400.0,2850.0,2850.0,2850.0,2850.0,8,13.0,13.0,13.0,13.0,168.348018614,5.42577181322,116.517573788,56.4227773708,0.807192809311,55.0097398273,95.0329058613
60,11400.0,4560.0,4560.0,1140.0,1140.0,8,13.0,13.0,13.0,13.0,164.690098571,5.42233324775,112.78116942,56.4348790159,0.807365937281,53.9609272195,94.9760384596
60,11400.0,4560.0,4560.0,1140.0,1140.0,8,20.8,20.8,5.2,5.2,264.727927931,5.92266204927,212.328662228,47.9395939486,0.685831100839,110.624861687,95.830506338
60,11400.0,3420.0,3420.0,2280.0,2280.0,8,13.0,13.0,13.0,13.0,169.76840382,5.55681700547,116.867047536,56.6745395068,0.810794556607,56.391193396,95.2191179428
60,11400.0,3420.0,3420.0,2280.0,2280.0,8,15.6,15.6,10.4,10.4,187.087847014,5.4257693066,136.169615211,54.4394609275,0.778819183513,64.2538145895,95.6554749783
60,11400.0,6840.0,2280.0,1140.0,1140.0,8,13.0,13.0,13.0,13.0,156.535871011,5.07454961118,108.248256189,54.1463421228,0.774625781442,54.3028587114,91.7496271227
60,11400.0,6840.0,2280.0,1140.0,1140.0,8,31.2,10.4,5.2,5.2,273.014757981,5.50213926371,223.18856211,50.5566077836,0.72327049762,115.143227015,94.2866631037
60,11400.0,2280.0,2280.0,3420.0,3420.0,8,13.0,13.0,13.0,13.0,166.694438718,5.40362534019,114.416137758,56.1392080379,0.803136023433,52.3470371484,95.0656730262
60,11400.0,2280.0,2280.0,3420.0,3420.0,8,10.4,10.4,15.6,15.6,166.426949096,5.37644970343,114.810655753,55.768031692,0.79782591834,55.3847921601,95.0543411627
