cycletime(s), totalflow(Veh/h),flow(1),flow(2),flow(3),flow(4),losttime(s),green_time(1),green_time(2),green_time(3),green_time(4),avgdelay,stopsPerVehicle,stopDelay,emissionsco,fuelconsumption,stdev_delay,avg_qlen
130,9120.0,4560.0,1824.0,912.0,1824.0,8,30.5,30.5,30.5,30.5,193.204450898,4.56757396489,148.625732899,49.1171709561,0.702677696082,74.0200312909,93.0533498421
130,9120.0,4560.0,1824.0,912.0,1824.0,8,61.0,24.4,12.2,24.4,232.877642242,5.14758173509,185.890125908,55.2592319765,0.790546952454,93.9230926651,94.0235160414
130,9120.0,1824.0,912.0,1824.0,4560.0,8,30.5,30.5,30.5,30.5,194.227098498,4.82909527314,147.34887553,53.4910279435,0.765250757418,67.9403807988,94.4001323209
130,9120.0,1824.0,912.0,1824.0,4560.0,8,24.4,12.2,24.4,61.0,210.40663437,4.75553375461,163.338016999,49.1598718999,0.703288582258,85.5493294674,93.8337297684
130,9120.0,1824.0,1824.0,4560.0,912.0,8,30.5,30.5,30.5,30.5,206.175633872,4.73558506504,161.08283265,49.6225942162,0.709908357885,80.4243683998,92.3171258011
130,9120.0,1824.0,1824.0,4560.0,912.0,8,24.4,24.4,61.0,12.2,203.953398957,4.6698732301,159.087608079,46.1622218212,0.660403745653,89.2455651411,92.2664980117
130,9120.0,1824.0,1824.0,1824.0,3648.0,8,30.5,30.5,30.5,30.5,204.055715137,4.78118880358,158.231027005,49.0967029252,0.702384877327,74.8797088461,94.7587258491
130,9120.0,1824.0,1824.0,1824.0,3648.0,8,24.4,24.4,24.4,48.8,197.719381844,4.84113214613,150.433795905,50.7284376196,0.72572872131,75.6592077051,93.960959844
140,9120.0,912.0,7296.0,456.0,456.0,8,33.0,33.0,33.0,33.0,126.544972954,2.94971648509,97.5319423928,30.6007637832,0.437779167142,84.1474884465,59.2597560149
140,9120.0,912.0,7296.0,456.0,456.0,8,13.2,105.6,6.6,6.6,300.424409865,4.7014838522,257.892419322,50.2515894767,0.718906859467,129.801245815,87.0229250055
140,9120.0,2280.0,2280.0,2280.0,2280.0,8,33.0,33.0,33.0,33.0,200.692397886,4.70379908233,154.606005244,48.0116833847,0.686862423243,69.4413642074,94.5475954949
140,9120.0,2280.0,2280.0,2280.0,2280.0,8,33.0,33.0,33.0,33.0,213.943187343,4.69501961033,168.483691511,47.6493972136,0.68167950234,82.1523280238,94.7098861848
140,9120.0,3648.0,3648.0,912.0,912.0,8,33.0,33.0,33.0,33.0,196.053244457,4.48742966723,151.606710762,48.116254392,0.688358431932,77.1214723683,94.5477287492
140,9120.0,3648.0,3648.0,912.0,912.0,8,52.8,52.8,13.2,13.2,257.71245651,4.70475118179,212.2033455,53.5837289137,0.766576951555,105.348596475,94.8234742231
140,9120.0,2736.0,2736.0,1824.0,1824.0,8,33.0,33.0,33.0,33.0,194.877910947,4.64221176811,149.005552177,47.4748146385,0.679181897546,74.9617063257,94.935484148
